Date,Load (MW)
2/8/2015,9920
2/8/2015,10761
2/8/2015,11227
2/8/2015,11692
2/8/2015,11378
2/8/2015,11270
2/8/2015,11137
2/8/2015,11014
2/8/2015,10995
2/8/2015,11572
2/8/2015,12285
2/8/2015,12092
2/8/2015,11779
2/8/2015,11129
2/8/2015,10460
2/8/2015,9710
2/9/2015,9355
2/9/2015,9392
2/9/2015,9151
2/9/2015,9133
2/9/2015,9317
2/9/2015,9525
2/9/2015,10620
2/9/2015,11312
2/9/2015,11496
2/9/2015,11523
2/9/2015,11804
2/9/2015,11865
2/9/2015,11745
2/9/2015,11698
2/9/2015,11712
2/9/2015,11499
2/9/2015,11595
2/9/2015,12206
2/9/2015,13132
2/9/2015,13024
2/9/2015,12601
2/9/2015,12006
2/9/2015,11212
2/9/2015,10549
2/10/2015,10092
2/10/2015,9698
2/10/2015,9513
2/10/2015,9462
2/10/2015,9615
2/10/2015,10281
2/10/2015,11364
2/10/2015,11928
2/10/2015,11908
2/10/2015,11819
2/10/2015,11712
2/10/2015,11541
2/10/2015,11421
2/10/2015,11360
2/10/2015,11349
2/10/2015,11392
2/10/2015,11602
2/10/2015,12145
2/10/2015,13057
2/10/2015,12942
2/10/2015,12602
2/10/2015,11954
2/10/2015,11215
2/10/2015,10354
2/11/2015,9863
2/11/2015,9596
2/11/2015,9681
2/11/2015,9672
2/11/2015,9636
2/11/2015,10228
2/11/2015,11432
2/11/2015,12069
2/11/2015,11953
2/11/2015,11736
2/11/2015,11643
2/11/2015,11522
2/11/2015,11379
2/11/2015,11384
2/11/2015,11532
2/11/2015,11804
2/11/2015,12077
2/11/2015,12729
2/11/2015,13573
2/11/2015,13429
2/11/2015,13016
2/11/2015,12311
2/11/2015,11465
2/11/2015,10573
2/12/2015,10008
2/12/2015,9664
2/12/2015,9737
2/12/2015,9726
2/12/2015,9618
2/12/2015,10250
2/12/2015,11358
2/12/2015,12123
2/12/2015,12096
2/12/2015,11925
2/12/2015,11683
2/12/2015,11624
2/12/2015,11571
2/12/2015,11565
2/12/2015,11606
2/12/2015,11721
2/12/2015,12177
2/12/2015,12800
2/12/2015,13565
2/12/2015,13373
2/12/2015,12952
2/12/2015,12345
2/12/2015,11493
2/12/2015,10608
2/13/2015,9993
2/13/2015,9635
2/13/2015,9637
2/13/2015,9712
2/13/2015,9621
2/13/2015,10208
2/13/2015,11221
2/13/2015,11967
2/13/2015,12048
2/13/2015,11952
2/13/2015,11914
2/13/2015,11879
2/13/2015,11764
2/13/2015,11801
2/13/2015,11722
2/13/2015,11768
2/13/2015,11945
2/13/2015,12295
2/13/2015,12984
2/13/2015,12731
2/13/2015,12268
2/13/2015,11855
2/13/2015,11317
2/13/2015,10582
2/14/2015,9971
2/14/2015,9612
2/14/2015,9652
2/14/2015,9521
2/14/2015,9486
2/14/2015,9455
2/14/2015,9849
2/14/2015,10387
2/14/2015,10850
2/14/2015,11245
2/14/2015,10954
2/14/2015,10468
2/14/2015,10391
2/14/2015,10695
2/14/2015,10736
2/14/2015,10622
2/14/2015,10637
2/14/2015,11164
2/14/2015,12032
2/14/2015,11857
2/14/2015,11494
2/14/2015,11148
2/14/2015,10687
2/14/2015,10051
2/15/2015,9651
2/15/2015,9593
2/15/2015,9647
2/15/2015,9636
2/15/2015,9483
2/15/2015,9447
2/15/2015,9401
2/15/2015,9575
2/15/2015,10298
2/15/2015,10528
2/15/2015,10521
2/15/2015,10480
2/15/2015,10519
2/15/2015,10568
2/15/2015,10701
2/15/2015,10622
2/15/2015,10475
2/15/2015,11077
2/15/2015,12043
2/15/2015,11978
2/15/2015,11530
2/15/2015,11146
2/15/2015,10513
2/15/2015,9784
2/16/2015,9458
2/16/2015,9323
2/16/2015,9157
2/16/2015,9129
2/16/2015,9269
2/16/2015,9673
2/16/2015,10034
2/16/2015,10389
2/16/2015,10817
2/16/2015,11074
2/16/2015,11204
2/16/2015,11157
2/16/2015,11051
2/16/2015,11207
2/16/2015,11484
2/16/2015,11638
2/16/2015,11638
2/16/2015,12170
2/16/2015,13081
2/16/2015,12857
2/16/2015,12450
2/16/2015,11732
2/16/2015,11078
2/16/2015,10298
2/17/2015,9738
2/17/2015,9660
2/17/2015,9464
2/17/2015,9437
2/17/2015,9657
2/17/2015,10181
2/17/2015,10793
2/17/2015,11627
2/17/2015,11920
2/17/2015,12083
2/17/2015,12148
2/17/2015,12077
2/17/2015,11974
2/17/2015,11924
2/17/2015,11847
2/17/2015,11737
2/17/2015,11958
2/17/2015,12495
2/17/2015,13330
2/17/2015,13163
2/17/2015,12700
2/17/2015,11993
2/17/2015,11203
2/17/2015,10328
2/18/2015,9719
2/18/2015,9662
2/18/2015,9482
2/18/2015,9425
2/18/2015,9614
2/18/2015,10044
2/18/2015,11007
2/18/2015,11926
2/18/2015,12220
2/18/2015,12308
2/18/2015,12334
2/18/2015,12100
2/18/2015,11776
2/18/2015,11602
2/18/2015,11521
2/18/2015,11606
2/18/2015,11874
2/18/2015,12402
2/18/2015,13258
2/18/2015,13130
2/18/2015,12723
2/18/2015,12103
2/18/2015,11420
2/18/2015,10588
2/19/2015,9960
2/19/2015,9602
2/19/2015,9384
2/19/2015,9349
2/19/2015,9563
2/19/2015,10280
2/19/2015,11240
2/19/2015,11975
2/19/2015,12178
2/19/2015,12249
2/19/2015,12264
2/19/2015,12138
2/19/2015,11911
2/19/2015,11824
2/19/2015,11783
2/19/2015,11765
2/19/2015,11812
2/19/2015,12216
2/19/2015,13167
2/19/2015,13073
2/19/2015,12635
2/19/2015,12069
2/19/2015,11418
2/19/2015,10592
2/20/2015,9970
2/20/2015,9591
2/20/2015,9380
2/20/2015,9384
2/20/2015,9601
2/20/2015,10061
2/20/2015,10887
2/20/2015,11685
2/20/2015,11987
2/20/2015,12062
2/20/2015,11908
2/20/2015,11754
2/20/2015,11594
2/20/2015,11534
2/20/2015,11466
2/20/2015,11477
2/20/2015,11588
2/20/2015,11990
2/20/2015,12757
2/20/2015,12619
2/20/2015,12183
2/20/2015,11619
2/20/2015,11068
2/20/2015,10328
2/21/2015,9735
2/21/2015,9782
2/21/2015,9772
2/21/2015,9677
2/21/2015,9726
2/21/2015,10010
2/21/2015,10327
2/21/2015,10483
2/21/2015,10805
2/21/2015,10843
2/21/2015,10868
2/21/2015,10747
2/21/2015,10401
2/21/2015,10260
2/21/2015,10141
2/21/2015,10177
2/21/2015,10449
2/21/2015,10959
2/21/2015,11890
2/21/2015,11839
2/21/2015,11632
2/21/2015,11243
2/21/2015,11299
2/21/2015,10750
2/22/2015,9960
2/22/2015,9304
2/22/2015,8877
2/22/2015,8824
2/22/2015,9120
2/22/2015,9296
2/22/2015,9169
2/22/2015,9441
2/22/2015,9812
2/22/2015,9979
2/22/2015,9976
2/22/2015,9901
2/22/2015,10119
2/22/2015,10041
2/22/2015,9900
2/22/2015,9932
2/22/2015,10319
2/22/2015,10949
2/22/2015,11936
2/22/2015,12054
2/22/2015,11823
2/22/2015,11288
2/22/2015,10581
2/22/2015,9748
2/23/2015,9394
2/23/2015,9343
2/23/2015,9424
2/23/2015,9120
2/23/2015,9353
2/23/2015,9867
2/23/2015,10797
2/23/2015,11670
2/23/2015,11739
2/23/2015,11682
2/23/2015,11598
2/23/2015,11435
2/23/2015,11272
2/23/2015,11197
2/23/2015,11168
2/23/2015,11203
2/23/2015,11529
2/23/2015,12103
2/23/2015,13195
2/23/2015,13228
2/23/2015,12807
2/23/2015,12096
2/23/2015,11244
2/23/2015,10355
2/24/2015,9773
2/24/2015,9672
2/24/2015,9716
2/24/2015,9751
2/24/2015,10044
2/24/2015,10500
2/24/2015,11622
2/24/2015,12376
2/24/2015,12257
2/24/2015,12043
2/24/2015,12145
2/24/2015,12214
2/24/2015,12137
2/24/2015,12086
2/24/2015,12121
2/24/2015,11932
2/24/2015,11581
2/24/2015,12082
2/24/2015,13103
2/24/2015,13162
2/24/2015,12767
2/24/2015,12121
2/24/2015,11303
2/24/2015,10490
2/25/2015,10088
2/25/2015,9969
2/25/2015,9792
2/25/2015,9765
2/25/2015,10012
2/25/2015,10502
2/25/2015,11616
2/25/2015,12339
2/25/2015,12078
2/25/2015,11810
2/25/2015,11598
2/25/2015,11443
2/25/2015,11263
2/25/2015,11338
2/25/2015,11453
2/25/2015,11433
2/25/2015,11631
2/25/2015,11961
2/25/2015,12876
2/25/2015,12900
2/25/2015,12552
2/25/2015,11879
2/25/2015,10966
2/25/2015,10122
2/26/2015,9652
2/26/2015,9408
2/26/2015,9499
2/26/2015,9397
2/26/2015,9429
2/26/2015,10125
2/26/2015,11264
2/26/2015,11985
2/26/2015,11993
2/26/2015,11989
2/26/2015,12057
2/26/2015,11674
2/26/2015,11436
2/26/2015,11455
2/26/2015,11485
2/26/2015,11430
2/26/2015,11654
2/26/2015,12050
2/26/2015,12920
2/26/2015,12927
2/26/2015,12505
2/26/2015,11801
2/26/2015,10893
2/26/2015,10052
2/27/2015,9663
2/27/2015,9360
2/27/2015,9571
2/27/2015,9496
2/27/2015,9680
2/27/2015,10208
2/27/2015,11049
2/27/2015,11665
2/27/2015,11716
2/27/2015,11926
2/27/2015,12009
2/27/2015,11755
2/27/2015,11434
2/27/2015,11525
2/27/2015,11457
2/27/2015,11226
2/27/2015,11199
2/27/2015,11560
2/27/2015,12459
2/27/2015,12491
2/27/2015,12113
2/27/2015,11522
2/27/2015,10773
2/27/2015,10050
2/28/2015,9603
2/28/2015,9284
